School,Nickname,City,State/Province,Conference,Division
Chadron State College,Eagles,Chadron,Nebraska,Rocky Mountain Athletic Conference,2
Chaminade University of Honolulu,Silverswords,Honolulu,Hawai'i,Pacific West Conference,2
University of Charleston,Golden Eagles,Charleston,West Virginia,Mountain East Conference,2
Chestnut Hill College,Griffins,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,2
Chowan University,Hawks,Murfreesboro,North Carolina,Central Intercollegiate Athletic Association[c],2
Christian Brothers University,Buccaneers,Memphis,Tennessee,Gulf South Conference,2
Claflin University,Panthers,Orangeburg,South Carolina,Central Intercollegiate Athletic Association,2
Clarion University of Pennsylvania,Golden Eagles,Clarion,Pennsylvania,Pennsylvania State Athletic Conference,2
Clark Atlanta University,Panthers,Atlanta,Georgia,Southern Intercollegiate Athletic Conference,2
Clayton State University,Lakers,Morrow,Georgia,Peach Belt Conference,2
Coker College,Cobras,Hartsville,South Carolina,South Atlantic Conference,2
Colorado Christian University,Cougars,Lakewood,Colorado,Rocky Mountain Athletic Conference,2
Colorado Mesa University,Mavericks,Grand Junction,Colorado,Rocky Mountain Athletic Conference,2
Colorado School of Mines,Orediggers,Golden,Colorado,Rocky Mountain Athletic Conference,2
Colorado State University–Pueblo,ThunderWolves,Pueblo,Colorado,Rocky Mountain Athletic Conference,2
University of Colorado Colorado Springs,Mountain Lions,Colorado Springs,Colorado,Rocky Mountain Athletic Conference,2
Columbus State University,Cougars,Columbus,Georgia,Peach Belt Conference,2
Concord University,Mountain Lions,Athens,West Virginia,Mountain East Conference,2
Concordia College,Clippers,Bronxville,New York,Central Atlantic Collegiate Conference,2
Concordia University–Irvine,Eagles,Irvine,California,Pacific West Conference,2
Concordia University–Portland,Cavaliers,Portland,Oregon,Great Northwest Athletic Conference,2
Concordia University–St. Paul,Golden Bears,St. Paul,Minnesota,Northern Sun Intercollegiate Conference,2
Converse College,Valkyries,Spartanburg,South Carolina,Conference Carolinas,2
Daemen College,Wildcats,Amherst,New York,East Coast Conference,2
Dallas Baptist University,Patriots,Dallas,Texas,Heartland Conference[a],2
Davis & Elkins College,Senators,Elkins,West Virginia,Great Midwest Athletic Conference[d],2
Delta State University,Statesmen & Lady Statesmen,Cleveland,Mississippi,Gulf South Conference,2
University of the District of Columbia,Firebirds,Washington,District of Columbia,East Coast Conference,2
Dixie State University,Trailblazers,St. George,Utah,Rocky Mountain Athletic Conference,2
Dominican University of California,Penguins,San Rafael,California,Pacific West Conference,2
Dominican College,Chargers,Orangeburg,New York,Central Atlantic Collegiate Conference,2
Drury University,Panthers,Springfield,Missouri,Great Lakes Valley Conference,2
East Central University,Tigers,Ada,Oklahoma,Great American Conference,2
East Stroudsburg University of Pennsylvania,Warriors,East Stroudsburg,Pennsylvania,Pennsylvania State Athletic Conference,2
Eastern New Mexico University,Greyhounds,Portales,New Mexico,Lone Star Conference,2
Eckerd College,Tritons,St. Petersburg,Florida,Sunshine State Conference,2
Edinboro University of Pennsylvania,Fighting Scots,Edinboro,Pennsylvania,Pennsylvania State Athletic Conference,2
Elizabeth City State University,Vikings,Elizabeth City,North Carolina,Central Intercollegiate Athletic Association,2
Embry–Riddle Aeronautical University,Eagles,Daytona Beach,Florida,Sunshine State Conference,2
Emporia State University,Hornets,Emporia,Kansas,Mid-America Intercollegiate Athletics Association,2
Erskine College,Flying Fleet,Due West,South Carolina,Conference Carolinas,2
Fairmont State University,Falcons,Fairmont,West Virginia,Mountain East Conference,2
